"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2017年10月25日","565.67","569.75","571.68","562.06","2.51M","-0.29%"
"2017年10月24日","567.33","572.00","573.80","563.61","3.13M","-1.06%"
"2017年10月23日","573.41","574.92","580.50","568.00","2.38M","-0.16%"
"2017年10月20日","574.33","581.00","581.00","571.76","3.15M","-1.42%"
"2017年10月19日","582.60","561.00","585.15","560.72","4.07M","3.90%"
"2017年10月18日","560.72","554.20","562.59","554.20","1.92M","0.72%"
"2017年10月17日","556.73","560.97","560.97","554.00","2.10M","-0.71%"
"2017年10月16日","560.69","559.99","566.66","555.87","2.99M","0.82%"
"2017年10月13日","556.15","545.00","556.60","542.01","2.79M","2.22%"
"2017年10月12日","544.09","545.00","547.50","540.18","1.96M","-0.27%"
"2017年10月11日","545.54","538.10","551.25","538.10","3.34M","1.01%"
"2017年10月10日","540.06","527.05","540.49","527.01","3.10M","2.33%"
"2017年10月9日","527.77","524.54","535.55","520.10","3.49M","1.96%"
"2017年9月29日","517.64","516.00","525.88","515.50","2.24M","-0.16%"
"2017年9月28日","518.46","507.20","520.20","507.15","2.60M","2.02%"
"2017年9月27日","508.21","508.92","511.03","506.07","1.67M","-0.21%"
"2017年9月26日","509.29","506.69","510.00","503.60","2.55M","0.40%"
"2017年9月25日","507.24","500.31","508.20","500.30","3.27M","1.46%"
"2017年9月22日","499.93","496.90","500.18","495.80","1.63M","0.23%"
"2017年9月21日","498.77","495.94","500.58","492.88","1.94M","0.52%"
"2017年9月20日","496.20","496.90","500.02","496.00","1.73M","-0.15%"
"2017年9月19日","496.95","500.30","502.50","496.01","2.31M","-0.40%"
"2017年9月18日","498.97","490.14","500.50","490.14","4.22M","1.86%"
"2017年9月15日","489.84","492.50","492.50","488.00","1.60M","-0.18%"
"2017年9月14日","490.71","492.99","494.03","488.99","1.94M","-0.19%"
"2017年9月13日","491.63","485.00","492.20","481.38","3.31M","1.39%"
"2017年9月12日","484.91","479.50","486.00","478.40","3.43M","1.38%"
"2017年9月11日","478.32","471.09","482.22","469.98","4.54M","0.83%"
"2017年9月8日","474.37","478.25","480.50","474.00","4.12M","-1.43%"
"2017年9月7日","481.27","485.31","486.90","480.06","3.33M","-0.76%"
"2017年9月6日","484.98","490.00","492.77","484.84","3.30M","-1.02%"
"2017年9月5日","489.99","492.88","493.99","489.50","2.26M","-0.49%"
"2017年9月4日","492.42","495.18","496.66","491.27","1.89M","-0.56%"
"2017年9月1日","495.18","490.20","496.28","490.03","3.15M","0.82%"
"2017年8月31日","491.15","494.04","494.88","489.80","1.87M","-0.37%"
"2017年8月30日","492.97","489.70","493.75","489.16","1.85M","0.72%"
"2017年8月29日","489.44","493.02","494.88","488.01","2.52M","-0.53%"
"2017年8月28日","492.04","493.00","497.29","491.03","2.90M","-0.19%"
"2017年8月25日","492.99","493.45","494.25","489.32","1.73M","0.04%"
"2017年8月24日","492.81","493.99","496.40","492.02","1.82M","-0.24%"
"2017年8月23日","494.01","485.45","494.63","484.32","2.72M","1.39%"
"2017年8月22日","487.22","487.40","489.48","476.00","4.25M","-0.51%"
"2017年8月21日","489.73","488.00","494.40","486.94","2.35M","0.02%"
"2017年8月18日","489.65","492.80","494.44","488.00","2.39M","-0.62%"
"2017年8月17日","492.69","497.60","497.60","489.80","2.58M","-0.77%"
"2017年8月16日","496.49","498.00","498.80","493.00","1.86M","0.10%"
"2017年8月15日","495.97","500.11","501.10","495.01","2.72M","-0.77%"
"2017年8月14日","499.83","485.21","500.10","485.21","3.93M","3.26%"
"2017年8月11日","484.06","489.00","496.55","483.48","3.66M","-1.54%"
"2017年8月10日","491.63","491.09","499.60","489.00","3.54M","0.16%"
"2017年8月9日","490.85","484.84","492.98","482.03","4.18M","1.71%"
"2017年8月8日","482.58","482.00","484.22","479.50","1.61M","0.21%"
"2017年8月7日","481.56","472.50","482.40","471.13","2.31M","1.67%"
"2017年8月4日","473.64","477.00","478.98","472.60","1.87M","-0.75%"
"2017年8月3日","477.22","483.68","486.85","475.63","3.18M","-1.16%"
"2017年8月2日","482.84","480.04","484.88","478.51","2.68M","0.54%"
"2017年8月1日","480.24","481.00","483.00","477.40","2.75M","-0.20%"
"2017年7月31日","481.22","484.00","487.96","481.00","3.84M","-0.56%"
"2017年7月28日","483.92","471.00","484.07","467.71","4.66M","2.12%"
"2017年7月27日","473.87","471.63","475.85","471.10","1.96M","0.47%"
"2017年7月26日","471.63","478.05","481.63","466.56","3.15M","-1.32%"
"2017年7月25日","477.96","482.20","482.80","476.10","2.19M","0.03%"
